City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Maragogi,BR,75.04,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
4,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
8,Limbang,MY,78.8,broken clouds,4.75,115.0,Purnama Hotel
11,Bethel,US,81.0,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
13,Trairi,BR,78.93,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
14,Georgetown,MY,77.0,thunderstorm with rain,5.41,100.34,Cititel Penang
17,Padang,ID,77.0,overcast clouds,-0.95,100.35,Mercure Padang
21,Hasaki,JP,80.6,few clouds,35.73,140.83,Inubosaki Kanko Hotel
23,Portland,US,79.0,scattered clouds,45.52,-122.68,Portland Marriott City Center
25,Hamilton,US,86.0,few clouds,39.18,-84.53,Six Acres Bed & Breakfast
28,Bengkulu,ID,75.63,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
32,Nouadhibou,MR,75.2,clear sky,20.93,-17.03,El Medina
36,Hoa Binh,VN,82.4,overcast clouds,20.81,105.34,Hoa Dao Hotel
37,Hilo,US,84.2,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
38,Atuona,PF,79.03,few clouds,-9.8,-139.03,Villa Enata
39,Dingle,PH,75.81,overcast clouds,11.0,122.67,Camp Pasica
47,Hithadhoo,MV,82.47,light rain,-0.6,73.08,Scoop Guest House
52,Tautira,PF,82.4,scattered clouds,-17.73,-149.15,Pension Oaoa
53,Butaritari,KI,83.34,broken clouds,3.07,172.79,Isles Sunset Lodge
56,Ribeira Grande,PT,75.31,overcast clouds,38.52,-28.7,Quinta da Meia Eira
57,Kahului,US,91.4,few clouds,20.89,-156.47,Maui Seaside Hotel
58,Victoria,HK,84.0,clear sky,22.29,114.16,Mini Hotel Central
63,Larkana,PK,87.8,haze,27.56,68.21,Abbasi House Lahori Larkana
64,Saint Anthony,US,77.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
74,El Tocuyo,VE,87.8,moderate rain,9.79,-69.79,HOTEL BOUTIQUE SANTO DOMINGO
76,The Valley,AI,84.2,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
81,Roebourne,AU,75.02,clear sky,-20.78,117.13,Harding River Caravan Park
84,Guerrero Negro,MX,87.67,light rain,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
92,Kapaa,US,80.6,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
94,Vaini,TO,78.8,scattered clouds,-21.2,-175.2,Keleti Beach Resort
100,Vila Velha,BR,75.2,few clouds,-20.33,-40.29,Hotel Vitória Palace
101,Resistencia,AR,87.8,broken clouds,-27.46,-58.98,Niyat Urban Hotel
104,Alghero,IT,78.8,few clouds,40.56,8.32,Hotel Carlos V
108,Sabang,ID,83.12,light rain,5.89,95.32,Hotel Citra
116,Umm Lajj,SA,84.56,clear sky,25.02,37.27,Moon light Furnished Units
117,Pemba,MZ,75.2,scattered clouds,-12.97,40.52,Guesthouse Samotina
120,Eunice,US,82.4,clear sky,30.49,-92.42,Holiday Inn Express Eunice
123,Hirado,JP,82.99,clear sky,33.36,129.55,Samson Hotel
132,Lucea,JM,88.0,few clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
133,Tateyama,JP,86.0,clear sky,34.98,139.87,Tateyama Seaside Hotel
