City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Anchorage,US,61.22,-149.9,63.0,48,1,6.93,clear sky
1,Carnarvon,AU,-24.87,113.63,55.4,62,0,10.29,clear sky
2,Maragogi,BR,-9.01,-35.22,75.04,82,24,10.85,few clouds
3,Punta Arenas,CL,-53.15,-70.92,39.2,86,75,28.86,broken clouds
4,Bathsheba,BB,13.22,-59.52,80.6,83,75,18.34,shower rain
5,Shkotovo,RU,43.33,132.36,68.0,100,75,4.47,light intensity shower rain
6,Ushuaia,AR,-54.8,-68.3,33.8,93,90,23.04,light snow
7,Arraial Do Cabo,BR,-22.97,-42.03,73.4,83,0,17.22,clear sky
8,Limbang,MY,4.75,115.0,78.8,88,75,1.12,broken clouds
9,Waipawa,NZ,-41.41,175.52,57.99,67,17,21.92,few clouds
10,Norman Wells,CA,65.28,-126.83,55.4,50,20,10.29,few clouds
11,Bethel,US,41.37,-73.41,81.0,74,75,9.17,broken clouds
12,Port Alfred,ZA,-33.59,26.89,51.48,67,35,20.07,light rain
13,Trairi,BR,-3.28,-39.27,78.93,72,0,14.54,clear sky
14,Georgetown,MY,5.41,100.34,77.0,88,40,8.05,thunderstorm with rain
15,Hobart,AU,-42.88,147.33,55.0,66,75,4.7,broken clouds
16,Palana,RU,59.12,159.97,49.55,76,20,11.1,few clouds
17,Padang,ID,-0.95,100.35,77.0,79,87,4.56,overcast clouds
18,Lavrentiya,RU,65.58,-171.0,48.13,64,13,8.97,few clouds
19,Yuzhno-Kurilsk,RU,44.03,145.86,55.4,76,100,9.26,moderate rain
20,Half Moon Bay,US,37.46,-122.43,73.99,60,20,9.17,smoke
21,Hasaki,JP,35.73,140.83,80.6,94,20,4.7,few clouds
22,Chuy,UY,-33.7,-53.46,55.15,88,93,18.68,light rain
23,Portland,US,45.52,-122.68,79.0,40,40,9.17,scattered clouds
24,Qaanaaq,GL,77.48,-69.36,35.51,79,0,3.49,clear sky
25,Hamilton,US,39.18,-84.53,86.0,48,20,12.75,few clouds
26,Nikolskoye,RU,59.7,30.79,55.99,93,75,6.71,light intensity shower rain
27,Mataura,NZ,-46.19,168.86,51.66,77,99,8.28,overcast clouds
28,Bengkulu,ID,-3.8,102.27,75.63,84,82,4.83,broken clouds
29,Pevek,RU,69.7,170.31,38.3,83,100,1.83,overcast clouds
30,Iqaluit,CA,63.75,-68.51,59.0,51,75,11.41,broken clouds
31,Lebu,CL,-37.62,-73.65,47.17,66,1,16.73,clear sky
32,Nouadhibou,MR,20.93,-17.03,75.2,73,9,20.8,clear sky
33,Rikitea,PF,-23.12,-134.97,70.03,68,58,6.98,broken clouds
34,Kununurra,AU,-15.77,128.73,57.2,26,0,1.12,clear sky
35,Saint-Philippe,RE,-21.36,55.77,68.0,72,39,8.05,scattered clouds
36,Hoa Binh,VN,20.81,105.34,82.4,83,98,4.7,overcast clouds
37,Hilo,US,19.73,-155.09,84.2,58,20,10.29,few clouds
38,Atuona,PF,-9.8,-139.03,79.03,78,20,18.66,few clouds
39,Dingle,PH,11.0,122.67,75.81,87,100,2.19,overcast clouds
40,Saldanha,ZA,-33.01,17.94,41.0,75,19,3.36,light rain
41,Busselton,AU,-33.65,115.33,39.99,77,87,7.18,overcast clouds
42,Westerland,DE,54.91,8.3,59.0,87,6,6.93,light rain
43,Mount Isa,AU,-20.73,139.5,68.0,42,40,6.93,scattered clouds
44,Te Anau,NZ,-45.42,167.72,50.36,78,100,7.76,overcast clouds
45,Mahebourg,MU,-20.41,57.7,69.8,77,40,14.99,scattered clouds
46,Saravan,AM,39.72,45.65,75.2,44,20,11.41,few clouds
47,Hithadhoo,MV,-0.6,73.08,82.47,74,100,10.07,light rain
48,Kjollefjord,NO,70.95,27.35,48.94,79,61,7.99,broken clouds
49,Kodiak,US,57.79,-152.41,53.6,93,90,26.4,moderate rain
50,Cidreira,BR,-30.18,-50.21,66.83,80,62,10.11,broken clouds
51,New Norfolk,AU,-42.78,147.06,55.0,57,79,3.0,broken clouds
52,Tautira,PF,-17.73,-149.15,82.4,65,40,5.82,scattered clouds
53,Butaritari,KI,3.07,172.79,83.34,70,62,10.58,broken clouds
54,Carballo,ES,43.21,-8.69,60.8,72,20,5.82,few clouds
55,Albany,US,42.6,-73.97,81.0,81,75,9.91,light rain
56,Ribeira Grande,PT,38.52,-28.7,75.31,93,100,7.36,overcast clouds
57,Kahului,US,20.89,-156.47,91.4,38,20,23.04,few clouds
58,Victoria,HK,22.29,114.16,84.0,70,0,4.0,clear sky
59,Tasiilaq,GL,65.61,-37.64,44.6,70,100,8.05,light intensity shower rain
60,Tiksi,RU,71.69,128.87,43.23,85,0,7.05,clear sky
61,Port Lincoln,AU,-34.73,135.87,55.87,73,66,17.43,broken clouds
62,Mar Del Plata,AR,-38.0,-57.56,46.4,45,20,13.87,few clouds
63,Larkana,PK,27.56,68.21,87.8,74,40,4.97,haze
64,Saint Anthony,US,45.02,-93.22,77.0,41,1,11.41,clear sky
65,Saskylakh,RU,71.92,114.08,51.03,61,100,4.0,overcast clouds
66,Khatanga,RU,71.97,102.5,48.25,76,91,9.46,overcast clouds
67,Miyako,JP,39.64,141.95,73.08,92,100,9.89,light rain
68,Nome,US,64.5,-165.41,59.0,67,90,11.41,overcast clouds
69,Bonavista,CA,48.65,-53.11,62.01,72,43,11.01,scattered clouds
70,Poum,NC,-20.23,164.02,69.1,71,94,17.25,overcast clouds
71,Bluff,NZ,-46.6,168.33,53.19,75,88,32.79,overcast clouds
72,Kurilsk,RU,45.23,147.88,52.57,78,100,7.83,overcast clouds
73,Narsaq,GL,60.92,-46.05,60.8,31,57,21.92,broken clouds
74,El Tocuyo,VE,9.79,-69.79,87.8,38,49,10.29,moderate rain
75,Clyde River,CA,70.47,-68.59,50.0,76,1,13.87,clear sky
76,The Valley,AI,18.22,-63.06,84.2,74,40,12.75,scattered clouds
77,Souillac,MU,-20.52,57.52,69.8,77,40,14.99,scattered clouds
78,Sambava,MG,-14.27,50.17,68.76,86,8,10.83,clear sky
79,Rolla,US,37.95,-91.77,72.0,94,40,5.82,mist
80,Quesnel,CA,53.0,-122.5,55.4,58,75,2.24,broken clouds
81,Roebourne,AU,-20.78,117.13,75.02,35,0,10.85,clear sky
82,Kankaanpaa,FI,61.8,22.42,55.4,76,100,3.36,overcast clouds
83,Cape Town,ZA,-33.93,18.42,46.0,87,40,8.05,scattered clouds
84,Guerrero Negro,MX,27.98,-114.06,87.67,50,1,12.91,light rain
85,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.0,88,90,14.99,light rain
86,Kamariotissa,GR,40.48,25.47,73.4,78,0,18.86,clear sky
87,Muros,ES,42.78,-9.06,57.99,82,0,1.01,clear sky
88,Vostok,RU,46.49,135.88,49.66,99,100,4.65,light rain
89,San Vicente,AR,-26.62,-54.13,72.45,59,0,2.86,clear sky
90,Preobrazheniye,RU,42.9,133.91,61.18,87,100,18.9,overcast clouds
91,Luderitz,NA,-26.65,15.16,52.84,65,0,20.24,clear sky
92,Kapaa,US,22.08,-159.32,80.6,74,40,10.29,light rain
93,Syamzha,RU,60.02,41.06,47.8,98,78,5.19,broken clouds
94,Vaini,TO,-21.2,-175.2,78.8,78,40,11.41,scattered clouds
95,Paita,PE,-5.09,-81.11,66.51,72,0,19.01,clear sky
96,Thompson,CA,55.74,-97.86,59.0,62,75,5.82,broken clouds
97,Kabinda,CD,-6.13,24.48,73.13,75,87,3.18,light rain
98,Labytnangi,RU,66.66,66.42,41.14,77,100,6.02,overcast clouds
99,Port Keats,AU,-14.25,129.55,66.02,53,21,8.23,few clouds
100,Vila Velha,BR,-20.33,-40.29,75.2,83,20,12.75,few clouds
101,Resistencia,AR,-27.46,-58.98,87.8,40,75,14.99,broken clouds
102,Yinchuan,CN,38.47,106.27,61.0,80,100,7.74,overcast clouds
103,Berlevag,NO,70.86,29.09,51.03,72,96,8.61,overcast clouds
104,Alghero,IT,40.56,8.32,78.8,83,11,11.41,few clouds
105,Bundaberg,AU,-24.85,152.35,59.0,82,75,8.05,broken clouds
106,Castro,BR,-24.79,-50.01,63.81,73,0,3.89,clear sky
107,Jamestown,US,42.1,-79.24,68.0,77,90,17.22,overcast clouds
108,Sabang,ID,5.89,95.32,83.12,72,69,6.06,light rain
109,Dudinka,RU,69.41,86.18,46.4,100,0,4.47,fog
110,Fortuna,US,40.6,-124.16,66.99,77,1,14.99,clear sky
111,Port Elizabeth,ZA,-33.92,25.57,48.2,87,28,16.11,light rain
112,Charlestown,AU,-32.95,151.67,52.0,78,0,5.01,clear sky
113,Sinjai,ID,-5.12,120.25,74.48,88,74,3.24,light rain
114,Upernavik,GL,72.79,-56.15,41.0,70,0,5.61,clear sky
115,Talnakh,RU,69.49,88.4,46.4,100,60,4.47,fog
116,Umm Lajj,SA,25.02,37.27,84.56,48,0,4.0,clear sky
117,Pemba,MZ,-12.97,40.52,75.2,83,40,11.41,scattered clouds
118,Cherskiy,RU,68.75,161.3,42.49,83,100,2.53,overcast clouds
119,Sicamous,CA,50.83,-118.99,73.0,23,7,1.01,clear sky
120,Eunice,US,30.49,-92.42,82.4,78,1,6.93,clear sky
121,Lodja,CD,-3.48,23.43,71.08,93,99,2.39,overcast clouds
122,Leningradskiy,RU,69.38,178.42,36.84,88,100,10.13,overcast clouds
123,Hirado,JP,33.36,129.55,82.99,94,0,1.12,clear sky
124,Oyo,NG,7.85,3.93,71.08,96,70,4.32,broken clouds
125,Vetlanda,SE,57.43,15.08,55.0,100,53,3.36,mist
126,Dabat,ET,12.98,37.77,52.07,100,81,0.63,light rain
