City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nizhniy Kuranakh,RU,2020-08-27 21:02:33,58.84,125.49,38.59,79,0,1.77
1,Bredasdorp,ZA,2020-08-27 20:58:43,-34.53,20.04,55.4,87,46,5.82
2,Busselton,AU,2020-08-27 20:58:29,-33.65,115.33,46.0,84,0,5.08
3,Pevek,RU,2020-08-27 21:02:34,69.7,170.31,38.8,90,0,2.82
4,Syracuse,IT,2020-08-27 21:02:34,37.09,15.28,81.0,83,3,2.24
5,Chokurdakh,RU,2020-08-27 21:02:34,70.63,147.92,37.53,85,100,8.43
6,Pasighat,IN,2020-08-27 21:02:34,28.07,95.33,76.03,83,3,2.82
7,Martapura,ID,2020-08-27 20:59:49,-3.42,114.85,73.4,94,40,1.12
8,Hermanus,ZA,2020-08-27 20:59:33,-34.42,19.23,54.0,92,71,7.0
9,Mehamn,NO,2020-08-27 21:02:34,71.04,27.85,44.6,75,40,16.11
10,Cap-Aux-Meules,CA,2020-08-27 21:02:34,47.38,-61.86,59.0,67,75,29.97
11,Barrow,US,2020-08-27 20:58:58,71.29,-156.79,37.4,93,90,18.34
12,Tasiilaq,GL,2020-08-27 21:02:34,65.61,-37.64,37.4,86,98,8.05
13,Rikitea,PF,2020-08-27 21:02:34,-23.12,-134.97,68.0,61,0,2.33
14,Sabha,LY,2020-08-27 21:02:35,27.04,14.43,85.5,23,0,10.18
15,Ponta Do Sol,PT,2020-08-27 21:02:35,32.67,-17.1,79.0,61,20,21.92
16,Mataura,NZ,2020-08-27 21:02:35,-46.19,168.86,45.0,72,53,11.01
17,Roros,NO,2020-08-27 21:02:35,62.57,11.38,35.6,100,100,2.24
18,Rawson,AR,2020-08-27 21:01:17,-43.3,-65.1,61.38,32,0,17.63
19,Teguise,ES,2020-08-27 21:02:35,29.06,-13.56,82.4,54,0,23.04
20,Port Alfred,ZA,2020-08-27 20:58:35,-33.59,26.89,60.1,71,0,14.67
21,Lagoa,PT,2020-08-27 21:00:15,39.05,-27.98,74.44,89,100,2.8
22,Korla,CN,2020-08-27 21:02:35,41.76,86.15,75.0,89,100,1.99
23,Kodiak,US,2020-08-27 20:58:56,57.79,-152.41,53.6,81,90,8.05
24,Kapaa,US,2020-08-27 21:02:35,22.08,-159.32,82.4,69,40,11.41
25,Nemuro,JP,2020-08-27 21:02:35,43.32,145.57,66.4,99,96,6.67
26,Muana,BR,2020-08-27 21:02:36,-1.53,-49.22,84.56,71,81,4.27
27,Qaanaaq,GL,2020-08-27 20:58:38,77.48,-69.36,38.95,87,100,11.36
28,Clyde River,CA,2020-08-27 20:58:36,70.47,-68.59,55.4,54,75,6.93
29,Aripuana,BR,2020-08-27 21:02:36,-9.17,-60.63,92.77,38,42,2.86
30,Olafsvik,IS,2020-08-27 20:59:40,64.89,-23.71,51.76,80,100,11.95
31,Praia Da Vitoria,PT,2020-08-27 20:59:25,38.73,-27.07,77.0,78,40,2.35
32,Parabel,RU,2020-08-27 21:02:36,58.7,81.48,48.45,91,13,5.88
33,Chuy,UY,2020-08-27 20:59:10,-33.7,-53.46,58.17,98,100,6.17
34,Karasjok,NO,2020-08-27 21:02:36,69.47,25.51,46.4,70,20,25.28
35,Provideniya,RU,2020-08-27 20:59:22,64.38,-173.3,50.0,87,90,4.47
36,Mahebourg,MU,2020-08-27 21:02:36,-20.41,57.7,71.6,83,75,10.29
37,Cabo San Lucas,MX,2020-08-27 20:59:29,22.89,-109.91,90.0,59,20,10.29
38,Butaritari,KI,2020-08-27 20:59:28,3.07,172.79,82.53,68,100,9.78
39,Jiujiang,CN,2020-08-27 21:02:36,29.73,115.98,74.52,82,37,2.86
40,Acajutla,SV,2020-08-27 20:59:33,13.59,-89.83,78.8,88,20,2.24
41,Upernavik,GL,2020-08-27 20:59:01,72.79,-56.15,43.9,68,83,7.81
42,East London,ZA,2020-08-27 20:58:56,-33.02,27.91,62.96,77,0,5.57
43,Bengkulu,ID,2020-08-27 20:59:22,-3.8,102.27,75.18,82,39,4.09
44,Souillac,MU,2020-08-27 21:00:05,-20.52,57.52,71.6,83,75,10.29
45,Jamestown,US,2020-08-27 21:02:37,42.1,-79.24,80.6,69,40,21.92
46,Saint George,US,2020-08-27 21:02:37,37.1,-113.58,104.0,14,1,8.05
47,Vaini,TO,2020-08-27 20:58:57,-21.2,-175.2,75.2,78,20,6.93
48,Gondanglegi,ID,2020-08-27 21:02:37,-7.75,112.01,72.01,86,62,7.0
49,Constitucion,CL,2020-08-27 21:02:37,-35.33,-72.42,52.43,65,11,6.04
50,Georgetown,MY,2020-08-27 21:00:18,5.41,100.34,80.6,88,20,3.36
51,Albany,US,2020-08-27 20:58:59,42.6,-73.97,64.99,94,100,4.85
52,Coquimbo,CL,2020-08-27 20:58:59,-29.95,-71.34,57.2,71,40,13.87
53,Tuktoyaktuk,CA,2020-08-27 20:59:01,69.45,-133.04,44.6,70,75,12.75
54,Lebu,CL,2020-08-27 20:58:54,-37.62,-73.65,50.99,86,100,11.23
55,Gat,IL,2020-08-27 20:59:38,31.61,34.76,78.01,33,0,2.95
56,Ushuaia,AR,2020-08-27 21:02:38,-54.8,-68.3,37.4,59,75,19.46
57,Sitka,US,2020-08-27 21:02:38,57.05,-135.33,59.0,62,90,10.29
58,Ribeira Grande,PT,2020-08-27 21:02:38,38.52,-28.7,75.2,94,75,3.36
59,Saint-Philippe,RE,2020-08-27 20:59:32,-21.36,55.77,69.8,60,35,5.82
60,Torbay,CA,2020-08-27 21:02:38,47.67,-52.73,64.0,59,75,17.22
61,Grand Gaube,MU,2020-08-27 20:59:38,-20.01,57.66,69.01,79,89,4.0
62,Marzuq,YE,2020-08-27 21:02:38,14.4,46.47,84.87,44,48,4.09
63,Hilo,US,2020-08-27 21:02:38,19.73,-155.09,84.2,58,40,8.05
64,Narsaq,GL,2020-08-27 20:59:37,60.92,-46.05,49.51,61,100,3.65
65,Kilindoni,TZ,2020-08-27 21:02:38,-7.91,39.67,76.15,78,11,9.35
66,Hobyo,SO,2020-08-27 21:02:38,5.35,48.53,76.24,82,95,26.57
67,Ayolas,PY,2020-08-27 21:02:39,-27.4,-56.9,83.84,55,0,5.53
68,Pemangkat,ID,2020-08-27 21:02:39,1.17,108.97,78.17,85,100,5.48
69,Kaitangata,NZ,2020-08-27 20:59:00,-46.28,169.85,42.01,85,57,4.0
70,Mar Del Plata,AR,2020-08-27 21:02:39,-38.0,-57.56,66.2,37,0,8.05
71,Odweyne,SO,2020-08-27 21:02:39,9.41,45.06,78.04,53,100,15.39
72,At-Bashi,KG,2020-08-27 21:02:39,41.17,75.81,47.12,62,37,1.41
73,Nikolskoye,RU,2020-08-27 20:58:33,59.7,30.79,53.6,93,90,4.47
74,Palana,RU,2020-08-27 21:02:39,59.12,159.97,46.92,76,95,5.37
75,Carnarvon,AU,2020-08-27 20:58:27,-24.87,113.63,64.4,100,92,6.93
76,Bambous Virieux,MU,2020-08-27 21:02:39,-20.34,57.76,71.6,83,75,10.29
77,Ada,US,2020-08-27 21:02:39,43.42,-116.13,84.99,28,1,8.05
78,Xixiang,CN,2020-08-27 21:02:40,35.16,112.86,77.0,99,0,2.75
79,Alofi,NU,2020-08-27 20:59:55,-19.06,-169.92,75.2,69,75,8.05
80,Dillon,US,2020-08-27 21:02:40,34.42,-79.37,93.0,62,40,8.05
81,Khatanga,RU,2020-08-27 20:59:35,71.97,102.5,54.43,79,87,5.23
82,Aksay,RU,2020-08-27 21:02:40,47.26,39.87,69.8,60,70,4.47
83,Kruisfontein,ZA,2020-08-27 21:00:15,-34.0,24.73,54.7,72,0,17.22
84,Basco,PH,2020-08-27 21:02:40,20.45,121.97,84.31,78,100,23.15
85,Jasper,US,2020-08-27 21:02:40,37.2,-94.35,81.0,69,1,6.93
86,Dikson,RU,2020-08-27 21:02:40,73.51,80.55,47.3,85,3,11.9
87,Hofn,IS,2020-08-27 21:02:41,64.25,-15.21,49.35,83,5,4.59
88,Victoria,HK,2020-08-27 21:01:38,22.29,114.16,82.4,83,20,3.36
89,Gao,ML,2020-08-27 21:02:41,16.64,1.64,87.84,45,10,15.3
90,Laguna,US,2020-08-27 20:59:38,38.42,-121.42,87.01,41,1,5.82
91,Isangel,VU,2020-08-27 21:02:41,-19.55,169.27,73.87,80,77,19.06
92,Carutapera,BR,2020-08-27 21:00:53,-1.2,-46.02,79.45,82,31,7.18
93,Laurel,US,2020-08-27 21:02:41,39.1,-76.85,91.4,49,1,9.17
94,Garoua,CM,2020-08-27 21:02:41,9.3,13.4,77.0,88,51,3.36
95,Puerto Ayora,EC,2020-08-27 20:58:55,-0.74,-90.35,77.0,57,83,26.4
96,Hobart,AU,2020-08-27 21:02:05,-42.88,147.33,48.2,57,40,14.99
97,Benguela,AO,2020-08-27 21:02:41,-12.58,13.41,68.58,80,85,2.8
98,Conway,US,2020-08-27 21:00:26,35.09,-92.44,75.2,100,75,23.04
99,Mareeba,AU,2020-08-27 21:02:42,-17.0,145.43,71.6,68,90,13.87
100,Saurimo,AO,2020-08-27 21:02:42,-9.66,20.39,70.7,73,94,4.83
101,Mamou,GN,2020-08-27 21:02:42,10.5,-12.0,68.58,94,61,3.0
102,Vila Velha,BR,2020-08-27 20:59:12,-20.33,-40.29,75.0,78,40,10.29
103,Sayansk,RU,2020-08-27 21:02:42,54.11,102.16,51.69,96,100,4.74
104,La Tuque,CA,2020-08-27 21:00:08,47.43,-72.78,66.02,45,0,7.4
105,Avarua,CK,2020-08-27 20:59:01,-21.21,-159.78,77.0,57,58,12.75
106,Maroantsetra,MG,2020-08-27 21:02:42,-15.43,49.73,67.68,83,20,1.23
107,Faanui,PF,2020-08-27 21:00:28,-16.48,-151.75,77.68,79,4,15.99
108,Yellowknife,CA,2020-08-27 21:02:42,62.46,-114.35,60.8,72,75,17.22
